field,link
Math,http://setosa.io/ev/image-kernels/,
Math,http://setosa.io/ev/pi/,
Math,http://setosa.io/ev/exponentiation/,
Math,http://euclidthegame.com/,
Math,https://morr.cc/mandelbrot/,
Math,http://vf.rohanp.xyz/,
Math,http://world.mathigon.org/,
Math,http://pomax.github.io/bezierinfo/,
Math,http://mathinsight.org/,
Math,http://jackschaedler.github.io/circles-sines-signals/,
Math,https://epiplexis.xyz/,
Math,http://setosa.io/ev/conditional-probability/,
Math,http://tinlizzie.org/histograms/,
Math,http://www.loper-os.org/bad-at-entropy/manmach.html,
Math,http://rpsychologist.com/d3/CI/,
Math,http://setosa.io/ev/markov-chains/,
Math,http://setosa.io/ev/ordinary-least-squares-regression/,
Math,http://setosa.io/ev/principal-component-analysis/,
Math,https://abstractionapplication.itch.io/probdef,
Math,http://students.brown.edu/seeing-theory/,
Math,http://vudlab.com/simpsons/,
Math,https://fivethirtyeight.com/features/science-isnt-broken/#part1,
Math,http://flowingdata.com/2015/09/23/years-you-have-left-to-live-probably/,
Math,http://setosa.io/ev/eigenvectors-and-eigenvalues/,
Math,http://ncase.me/matrix/,
Math,http://immersivemath.com/ila/,
Math,https://maxgoldste.in/itad/,
Math,https://marimo.io/p/@marimo/embedding-visualizer,
Math,https://marimo.io/@public/signal-decomposition,
Math,https://marimo.io/p/@marimo/interactive-matrices,
Math,http://acko.net/blog/how-to-fold-a-julia-fractal/,
Math,http://setosa.io/ev/sine-and-cosine/,
Math,https://marimo.io/@public/surfaces,
Math,http://incredible.pm/,
Algorithms,https://unwttng.com/compression-decompressed,
Algorithms,https://bost.ocks.org/mike/algorithms/,
Algorithms,https://visualgo.net,
Algorithms,https://illustrated-algorithms.now.sh/quicksort,
Algorithms,https://medium.com/@max_goldstein/second-order-controls-5cee5ddc9d2d,
Algorithms,http://distill.pub/2016/misread-tsne/,
Algorithms,http://bevacqua.github.io/promisees/,
Algorithms,http://jackschaedler.github.io/handwriting-recognition/,
Algorithms,https://www.jasondavies.com/bloomfilter/,
Algorithms,http://www.benfrederickson.com/calculating-the-intersection-of-3-or-more-circles/,
Algorithms,http://bl.ocks.org/1wheel/464141fe9b940153e636,
Algorithms,https://morr.cc/split-packing/,
Algorithms,http://roadtolarissa.com/blog/2015/01/04/coloring-maps-with-d3/,
Algorithms,https://classes.soe.ucsc.edu/cmps179/Spring13/#Week9,
Algorithms,http://bl.ocks.org/enjalot/bd552e711b8325c64729,
Algorithms,http://blog.jrheard.com/procedural-dungeon-generation-cellular-automata,
Algorithms,http://www.r2d3.us/visual-intro-to-machine-learning-part-1/,
Algorithms,https://jalammar.github.io/visual-interactive-guide-basics-neural-networks/,
Algorithms,http://neuralnetworksanddeeplearning.com/,
Algorithms,http://playground.tensorflow.org/,
Algorithms,http://distill.pub/2016/augmented-rnns/,
Algorithms,http://distill.pub/2016/handwriting/,
Algorithms,http://bl.ocks.org/jmahabal/raw/8f010c62112dec083b559cb047a51048/,
Algorithms,https://huggingface.co/spaces/marimo-team/seam-carving,
Algorithms,http://www.redblobgames.com/,
Algorithms,http://www.redblobgames.com/pathfinding/a-star/introduction.html,
Algorithms,http://www.redblobgames.com/grids/hexagons/,
Algorithms,http://www.redblobgames.com/pathfinding/grids/graphs.html,
Algorithms,http://mewo2.com/notes/terrain/,
Algorithms,http://gamejolt.com/games/the-stranger-loop/10679,
Algorithms,http://davidbkemp.github.io/QuantumComputingArticle/,
Algorithms,https://thebookofshaders.com/,
Algorithms,http://www.bloomberg.com/graphics/2015-paul-ford-what-is-code/,
Algorithms,https://github.com/ChrisKnott/Algojammer,
Algorithms,http://jimkang.com/quadtreevis/,
Algorithms,https://anders.com/blockchain/,
Science,http://ncase.me/simulating/,
Science,http://ncase.me/neurons/,
Science,http://www.playfulinvention.com/emergence/index.html,
Science,http://internet-atlas.net/,
Science,http://shaunlebron.github.io/visualizing-projections/,
Science,https://aatishb.github.io/entropy/,
Science,http://dood.al/pinktrombone/,
Science,https://ciechanow.ski/gps/,
Science,https://marimo.io/p/@convex-optimization-nasa/trajectory-planning,
Science,https://marimo.io/p/@gvarnavides/stem-probes,
Physics,http://ncase.me/birds/,
Physics,https://arogozhnikov.github.io/2016/12/19/markov_chain_monte_carlo.html,
Physics,https://www.lucify.com/inside-einsteins-head/,
Physics,https://shapescience.xyz/blog/interactive-introduction-to-optical-modulation/,
Physics,http://nuclearsecrecy.com/nukemap/,
Physics,https://phet.colorado.edu/,
Physics,https://www.myphysicslab.com/,
Physics,https://pudding.cool/2018/02/waveforms/,
Physics,https://www.falstad.com/mathphysics.html,
Physics,https://www.falstad.com/circuit/,
Psychology,http://ncase.me/trust/,
Psychology,https://www.theguardian.com/australia-news/datablog/ng-interactive/2017/sep/28/hooked-how-pokies-are-designed-to-be-addictive,
Psychology,https://www.nytimes.com/interactive/2017/04/02/technology/uber-drivers-psychological-tricks.html?_r=0,
Systems And Thought Experiments,https://www.complexity-explorables.org/,
Systems And Thought Experiments,https://manytinythings.github.io/,
Systems And Thought Experiments,http://ncase.me/ballot/,
Systems And Thought Experiments,http://ncase.me/polygons/,
Systems And Thought Experiments,http://noticing.co/on-size-and-warmth/,
Creativity,http://ncase.me/joy-demo/,
Creativity,http://recursivedrawing.com/,
Other,http://techno.org/electronic-music-guide/,
Other,https://learningmusic.ableton.com/,
Other,https://kevinhayeswilson.com/redraw/,
Other,http://type.method.ac/,
Other,https://en.yaronshemesh.com/inequality/,
Other,https://thomas-tanay.github.io/posts/2022-SFCmodel,
Other,http://viruspatterns.com/,
Other,https://ciechanow.ski/mechanical-watch/,
About Explorable Explanations,http://explorableexplanations.com,
About Explorable Explanations,http://worrydream.com/ScientificCommunicationAsSequentialArt/,
About Explorable Explanations,http://worrydream.com/LadderOfAbstraction/,
About Explorable Explanations,http://worrydream.com/ExplorableExplanations/,
About Explorable Explanations,http://michaelnielsen.org/reinventing_explanation/,
About Explorable Explanations,http://blog.ncase.me/explorable-explanations/,
About Explorable Explanations,http://simblob.blogspot.de/2016/12/five-year-mission.html,
About Explorable Explanations,http://blog.ncase.me/i-do-and-i-understand/,
Tools And Resources,http://explorabl.es/,
Tools And Resources,http://aprt.us/,
Tools And Resources,https://github.com/lvm/awesome-livecoding,
Tools And Resources,http://tomasp.net/coeffects/,
Tools And Resources,https://dynamicland.org/,
Tools And Resources,https://harc.ycr.org/flex/,
Tools And Resources,https://github.com/harc/ohm,
Tools And Resources,http://www.chorus-home.org,
Tools And Resources,https://www.geogebra.org/materials/,
Tools And Resources,https://harc.ycr.org,
Tools And Resources,http://blog.ncase.me/how-i-make-an-explorable-explanation/,
Tools And Resources,http://simblob.blogspot.nl/2014/09/implementing-draggable-handles.html,
Tools And Resources,http://ncase.me/improv-wip/,
Tools And Resources,http://mimno.infosci.cornell.edu/info3300/,
Tools And Resources,http://idyll-lang.org/,
Tools And Resources,https://iooxa.dev,
Tools And Resources,http://lively-kernel.org,
Tools And Resources,http://ncase.me/loopy/,
Tools And Resources,http://worrydream.com/Tangle/,
Tools And Resources,http://bollwyvl.github.io/TangleDown/,
Tools And Resources,http://simblob.blogspot.nl/2016/10/outside-box.html,
Tools And Resources,https://ractive-player.org/,
Tools And Resources,http://simblob.blogspot.nl/search/label/making-of,
Tools And Resources,http://www.selflanguage.org,
Tools And Resources,http://marimo.io,
Tools And Resources,https://marimo.io/gallery/,
Tools And Resources,https://marimo.new/,
Books And Essays,http://mindstorms.media.mit.edu/,
Books And Essays,https://archive.org/details/firstsixbooksofe00eucl,
Books And Essays,http://www.edwardtufte.com/tufte/books_ei,
Books And Essays,http://scottmccloud.com/2-print/1-uc/,
Books And Essays,http://www.amazon.com/Topological-Picturebook-George-K-Francis/dp/0387345426,
Books And Essays,http://www.aerialpress.com/DYN/,
Books And Essays,http://www.amazon.com/Proofs-without-Words-Exercises-Classroom/dp/0883857006,
Books And Essays,http://www.amazon.com/Relativity-Visualized-Lewis-Carroll-Epstein/dp/093521805X,
Books And Essays,http://www.amazon.com/Shape-Space-Chapman-Applied-Mathematics/dp/0824707095,
Books And Essays,http://web.bentley.edu/empl/c/ncarter/vgt/,
Books And Essays,http://blog.ncase.me/environment-economy/,